user_message,emotion
i must say that i do feel better in myself and im really excited about reaching views for my beloved blog i love wearing tights,joy
i feel so privileged to have spent so much time with him,joy
i went to see the entrance examination results at university i rejoyced at my success,joy
i wish there was something i could do sitting here in the midwest i feel so helpless,fear
i still can t shake the feeling of him loving us both equally,love
i feel gracious what about you,love
i wonder maybe he has this awesome excuse and i will feel even more idiotic when he tells me it but i know he wont tell me it because he is not gonna call,sadness
i feel so squeezed hate this feeling thats why i dont really like squeezing on buses or in the mrt unless im with people which wont be that bad as compared as being alone,sadness
i feel like if he was innocent he wouldn t feel like he has anything to prove,joy
i just love the polar bear in the back ground feeling a little camera shy at the moment,fear
i tell myself i dont open my mouth and say what i really feel because i know im a loon and im smart enough to know im a loon and i never ever know if what im doing the choices i make are really what i want or need or even the right thing or if its the disease,joy
i made her feel like crap and i said i hated her and i stopped loving her before the summer because shes never home anymore,anger
i feel defeated conflicted poor lonely rejecte,sadness
i pray regularly now my prayer life doesnt feel passionate,joy
ive spent a good chunk of the day feeling quite agitated in a taut way as though it wouldnt take much for me to really snap and chew someones head off,fear
i feel pretty a href http unspokenwords keptinside,joy
i do however feel like one of those pathetic girls who make up excuses because of a guy,sadness
im not trying to sound sarcastic but only trying to make the point that amid the daily pressures of life as wife and mom we often may find ourselves feeling kind of unimportant or robotic if you will in carrying out our tasks,sadness
i feel insulted by saying real is bigger than man u real is a cows shit,anger
i feel no i have not been the victim of a violent crime and no i have never had to deal with a girl being pregnant with my child,anger
i feel like i come from a pretty innocent happy go lucky idealistic mindset that i feel like make me not such an ideal candidate to help those in the church fully understand who they are in christ and how they can live for him,joy
im feeling a little apprehensive as we come near the time we go back to mayo clinic,fear
i could feel the depth and richness of the hot pot starting to develop but every small event took me away from gathering the heat to speed along the process,love
i feel so embarrassed and humiliated korean attack victim accuses police sydney morning herald posted on pm with a href http brisbanehub,sadness
i guess but it feels like the most unpleasant joke youve ever heard,sadness
i posted i think it was about feeling sorta shitty and well i didnt want that to be the last post in my blog any more,sadness
i feel charming i feel whimsy,joy
i cant help but feel sentimental about the fact that we were drawn here,sadness
